site_name,address,city,state,programs,has_ot,has_pt,has_pa,latitude,longitude,geo_key
Encompass Health Glendale,"13460 N 67th Avenue, glendale, AZ",glendale,AZ,,False,False,False,33.6076387,-112.203853,"13460 N 67TH AVENUE, GLENDALE, AZ"
Encompass Health Glendale,"13460 N 67th Avenue, Glendale, AZ",Glendale,AZ,,False,False,False,33.6076387,-112.203853,"13460 N 67TH AVENUE, GLENDALE, AZ"
Encompass Health Glendale,"13460 North 67th Avenue, Glendale, AZ",Glendale,AZ,,False,False,False,33.6076387,-112.203853,"13460 NORTH 67TH AVENUE, GLENDALE, AZ"
Encompass Health Glendale,"13460 N 67th Avenue, Glendale, AZ",Glendale,AZ,PT,False,True,False,33.6076387,-112.203853,"13460 N 67TH AVENUE, GLENDALE, AZ"
"Encompass Health Glendale, AZ","13460 North 67th Avenue, Glendale, AZ",Glendale,AZ,,False,False,False,33.6076387,-112.203853,"13460 NORTH 67TH AVENUE, GLENDALE, AZ"
Encompass Health of Humble Texas,"19002 Mckay Drive, Humble, Tx",Humble,Tx,OT,True,False,False,29.9937596,-95.2768236,"19002 MCKAY DRIVE, HUMBLE, TX"
Encompass Health Rehabilitation - Northern Kentucky LLC,"201 Medical Village Drive, Edgewood, KY",Edgewood,KY,"PT, OT",True,True,False,39.0126785,-84.5669302,"201 MEDICAL VILLAGE DRIVE, EDGEWOOD, KY"
Encompass Health Rehabilitation Hospital of East Valley,"5652 E.Baseline Road, mesa, AZ",mesa,AZ,"PT, OT",True,True,False,33.3800419,-111.7096704,"5652 E.BASELINE ROAD, MESA, AZ"
Encompass Health Rehabilitation Hospital of Reading,"1623 Morgantown Road, Reading, PA",Reading,PA,PT,False,True,False,40.2885317,-75.92500299999999,"1623 MORGANTOWN ROAD, READING, PA"
Encompass Health Rehabilitation Hospital of Treasure Coast,"1600 37th Street, Vero Beach, FL",Vero Beach,FL,PT,False,True,False,27.6613287,-80.4004553,"1600 37TH STREET, VERO BEACH, FL"
Encompass Health Round Rock,"1400 Hesters Crossing Rd, Round Rock, TX",Round Rock,TX,OT,True,False,False,30.4835586,-97.6935537,"1400 HESTERS CROSSING RD, ROUND ROCK, TX"
Encompass Health Sunrise,"4399 N Nob Hill Rd, Sunrise, FL",Sunrise,FL,PT,False,True,False,26.1784061,-80.2847446,"4399 N NOB HILL RD, SUNRISE, FL"
Encompass Health Tucson,"2650 North Wyatt Drive, Tucson, AZ",Tucson,AZ,PT,False,True,False,32.2561092,-110.8832322,"2650 NORTH WYATT DRIVE, TUCSON, AZ"
Encompass Health-Scottsdale AZ,"9630 E.Shea Blvd., Scottsdale, AZ",Scottsdale,AZ,PT,False,True,False,33.5834031,-111.8728813,"9630 E.SHEA BLVD., SCOTTSDALE, AZ"
Epicenter Therapy Services,"612 East Main Street, Suite C, Bozeman, MT",Bozeman,MT,PT,False,True,False,45.6790514,-111.0277888,"612 EAST MAIN STREET, SUITE C, BOZEMAN, MT"
Erie County Medical Center,"462 Grider St, Buffalo, NY",Buffalo,NY,PA,False,False,True,42.9261978,-78.8334663,"462 GRIDER ST, BUFFALO, NY"
Erie County Medical Center,"462 Grider St, Buffalo, NY",Buffalo,NY,"PT, OT",True,True,False,42.9261978,-78.8334663,"462 GRIDER ST, BUFFALO, NY"
Evolution Sports Physiotherapy,"10540 York Rd, Suitet F, Cockeysville, MD",Cockeysville,MD,PT,False,True,False,39.4774228,-76.64311099999999,"10540 YORK RD, SUITET F, COCKEYSVILLE, MD"
Exceptional Kids and Family Therapies,"26121 US Route 11, Suite 1, Evan Mills, NY",Evan Mills,NY,"PA, OT, PT",True,True,True,44.0450731,-75.8387485,"26121 US ROUTE 11, SUITE 1, EVAN MILLS, NY"
Exeter Hospital,"Epping Regional Health Center, 212 Calef Highway, Epping, NH",Epping,NH,PT,False,True,False,43.038663,-71.06840319999999,"EPPING REGIONAL HEALTH CENTER, 212 CALEF HIGHWAY, EPPING, NH"
EXOS,"1020 Gulf Breeze Parkway, Gulf Breeze, FL",Gulf Breeze,FL,PT,False,True,False,30.3589289,-87.15813419999999,"1020 GULF BREEZE PARKWAY, GULF BREEZE, FL"
